,part number,serial number,start,end,MTBF,MTBUR,value,defect_20h
62350152,144162149,2282FAUX_SN080,2019-01-01,,666,392,2851.0,0.0
62350161,144358225,2282FAUX_SN081,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
62350162,144358225,2282FAUX_SN082,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
62350163,144358225,2282FAUX_SN083,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
62350164,144358225,2282FAUX_SN084,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
63102I,144111498,2282FAUX_SN062,2019-01-01,,,,2851.0,
63102J,144122279,2282FAUX_SN063,2019-01-01,,,,2851.0,
6310_01,144336843,2282FAUX_SN085,2019-01-01,,4789,2890,2851.0,0.002713417501558457
63201,144816989,2282FAUX_SN043,2019-01-01,,819,483,2851.0,0.0
6320111,13964180,2282FAUX_SN065,2019-01-01,,,,2851.0,
6320112,13964179,2282FAUX_SN066,2019-01-01,,1404,828,2851.0,5.646719951085677e-05
6320113,143993626,2282FAUX_SN067,2019-01-01,,1404,828,2851.0,5.646719951085677e-05
6320114,144348197,G1113U,2019-01-01,,11123,6562,2981.92,0.0001475998797726974
6320114,144348197,G1113U,2019-01-01,,666,392,2981.92,0.0
6320114,144348197,G1113U,2019-01-01,,666,392,2981.92,0.0
6320114,144348197,G1113U,2019-01-01,,666,392,2981.92,0.0
6320115,144348197,96510630,2019-01-01,,1310,773,10.2,0.00011368969628255954
6320115,144348197,96510630,2019-01-01,,1290,761,10.2,0.00011578945041296196
6320115,144348197,96510630,2019-01-01,,666,392,10.2,0.00026815931134788196
6320115,144348197,96510630,2019-01-01,,666,392,10.2,0.00026815931134788196
6320116,144111502,2282FAUX_SN068,2019-01-01,,9556,5638,2851.0,0.00021884663060972587
6320116,144111502,2282FAUX_SN068,2019-01-01,,9556,5638,2851.0,0.00021884663060972587
6320117,144111501,2282FAUX_SN069,2019-01-01,,9556,5638,2851.0,0.00021884663060972587
632012,144111497,2282FAUX_SN052,2019-01-01,,9556,5638,2851.0,0.00021884663060972587
632013,144111499,2282FAUX_SN053,2019-01-01,,6020,3551,2851.0,0.0011504527533515163
632014,144111498,2282FAUX_SN054,2019-01-01,,16627,9810,2851.0,4.2638941191830426e-05
632015,144122279,2282FAUX_SN055,2019-01-01,,2169,1279,2851.0,0.008331736570206083
632016,144001919,2282FAUX_SN056,2019-01-01,,2169,1279,2851.0,0.008331736570206083
632017,144828426,2282FAUX_SN057,2019-01-01,,11428,6743,2851.0,0.0001232434029032059
6320171,144015704,2282FAUX_SN070,2019-01-01,,993,586,2851.0,9.016609681111731e-11
6320172,144181933,2282FAUX_SN071,2019-01-01,,3713,2191,2851.0,0.00642431974844665
6320173,143993627,2282FAUX_SN072,2019-01-01,,6148,3627,2851.0,0.001062767916798546
632018,145032886,2282FAUX_SN050,2019-01-01,,819,483,2851.0,0.0
632019,144111497,2282FAUX_SN058,2019-01-01,,,,2851.0,
63201A,144111499,2282FAUX_SN059,2019-01-01,,,,2851.0,
63201E,144828426,2282FAUX_SN060,2019-01-01,,,,2851.0,
63201F,145032886,2282FAUX_SN051,2019-01-01,,,,2851.0,
63201H,144111499,2282FAUX_SN061,2019-01-01,,,,2851.0,
63201K,144001919,2282FAUX_SN064,2019-01-01,,,,2851.0,
6323_01,144336831,2282FAUX_SN086,2019-01-01,,341,201,2851.0,0.0
6323_02,144692575,2282FAUX_SN087,2019-01-01,,19112,11276,2851.0,3.0107224985198577e-05
6323_021,144472751,2282FAUX_SN088,2019-01-01,,614,362,2851.0,0.0
6325_01,144181874,2282FAUX_SN089,2019-01-01,,7800,5007,2851.0,0.0004418831335760154
6330_01,144181871,2282FAUX_SN090,2019-01-01,,4291,3451,2851.0,0.0040200728238005135
6330_02,144181873,2282FAUX_SN091,2019-01-01,,4291,3451,2851.0,0.0040200728238005135
6330_03,144181872,2282FAUX_SN092,2019-01-01,,4291,3451,2851.0,0.0040200728238005135
6330_04,144486066,2282FAUX_SN093,2019-01-01,,4290,2531,2851.0,0.004023322393458928
64101,144828416,20666,2019-01-01,,669,395,10.2,0.00026651562242968607
64102,144828416,20323,2019-01-01,,669,395,10.2,0.00026651562242968607
64103,144828416,21120,2019-01-01,,669,395,10.2,0.00026651562242968607
64104,144828416,2282FAUX_SN013,2019-01-01,,669,395,2851.0,0.0
64105,144828416,22153,2019-01-01,,669,395,10.2,0.00026651562242968607
64201,145062417,M574,2019-01-01,,409,241,165.3,0.01317447673713551
6510_01,144035744,M332,2019-01-01,,4778,2819,1982.62,0.0010138951918572947
6510_02,144692546,FR10828,2019-01-01,,3363,1984,705.55,0.0003050298610231539
6510_03,144181869,2282FAUX_SN099,2019-01-01,,3284,1937,2851.0,0.00887024686019977
6510_04,144181869,2282FAUX_SN100,2019-01-01,,3284,1937,2851.0,0.00887024686019977
6510_05,144181869,2282FAUX_SN101,2019-01-01,,3284,1937,2851.0,0.00887024686019977
6510_06,144181869,2282FAUX_SN102,2019-01-01,,3284,1937,2851.0,0.00887024686019977
6510_07,144035746,M496,2019-01-01,,3284,1937,1982.62,0.004127330861547818
6510_08,144035745,2282FAUX_SN103,2019-01-01,,3284,1937,2851.0,0.00887024686019977
6510_09,144443878,2282FAUX_SN104,2019-01-01,,3284,1937,2851.0,0.00887024686019977
6520_01,144035747,ACF22437,2019-01-01,,2049,1209,1982.62,0.015514267823996859
6710_01,145426398,2282FAUX_SN121,2019-01-01,,9662,5700,2851.0,0.00021096672459847143
6710_02,145426398,2282FAUX_SN122,2019-01-01,,9662,5700,2851.0,0.00021096672459847143
6720_01,145426398,2282FAUX_SN123,2019-01-01,,9662,5700,2851.0,0.00021096672459847143
6730_01,144023728,1225,2019-01-01,,3879,2289,1982.62,0.0022177039293528322
6730_02,144023728,2282FAUX_SN014,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
6730_03,144023728,2282FAUX_SN015,2019-01-01,,3879,2289,2851.0,0.005620241048758912
6730_04,144023729,2282FAUX_SN016,2019-01-01,,1911,1127,2851.0,0.004207451987898125
7201,144197599,2282FAUX_SN017,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720111,144246217,2282FAUX_SN018,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720111,144246217,2282FAUX_SN018,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720112,143950543,2282FAUX_SN019,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720112,143950543,2282FAUX_SN019,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720113,144246218,2282FAUX_SN020,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720113,144246218,2282FAUX_SN020,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720114,144246219,2282FAUX_SN021,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720114,144246219,2282FAUX_SN021,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720115,144246220,2282FAUX_SN022,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720115,144246220,2282FAUX_SN022,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720121,145041514,2282FAUX_SN023,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720121,145041514,2282FAUX_SN023,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720122,143950427,2282FAUX_SN024,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720122,143950427,2282FAUX_SN024,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720123,144122280,2282FAUX_SN025,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720123,144122280,2282FAUX_SN025,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720124,143950429,2282FAUX_SN026,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720124,143950429,2282FAUX_SN026,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720131,143957118,1260,2019-01-01,,2866,1691,4624.36,0.001337041432156405
720131,143957118,1260,2019-01-01,,2866,1691,4624.36,0.001337041432156405
720141,144122272,4334,2019-01-01,,2866,1691,225.3,0.00010401513296387499
720141,144122272,4334,2019-01-01,,2866,1691,225.3,0.00010401513296387499
720142,144215606,2282FAUX_SN027,2019-01-01,,1404,828,2851.0,5.646719951085677e-05
720142,144215606,2282FAUX_SN027,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720142,144215606,2282FAUX_SN027,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720151,143957119,2282FAUX_SN028,2019-01-01,,2866,1691,2851.0,0.011135433381504746
720151,143957119,2282FAUX_SN028,2019-01-01,,2866,1691,2851.0,0.011135433381504746
7202,144197599,2696,2019-01-01,,2866,1691,13.0,4.742699096588199e-05
720211,144246217,2282FAUX_SN029,2019-01-01,,,,2851.0,
720212,143950543,2282FAUX_SN030,2019-01-01,,,,2851.0,
720213,144246218,2282FAUX_SN031,2019-01-01,,,,2851.0,
720214,144246219,2282FAUX_SN032,2019-01-01,,,,2851.0,
720215,144246220,2282FAUX_SN033,2019-01-01,,,,2851.0,
720221,145041514,2282FAUX_SN034,2019-01-01,,,,2851.0,
720222,143950427,2282FAUX_SN035,2019-01-01,,,,2851.0,
720223,144122280,2282FAUX_SN036,2019-01-01,,,,2851.0,
720224,143950429,2282FAUX_SN037,2019-01-01,,,,2851.0,
720231,143957118,2282FAUX_SN038,2019-01-01,,,,2851.0,
720241,144122272,2282FAUX_SN039,2019-01-01,,,,2851.0,
720242,144215606,2282FAUX_SN040,2019-01-01,,,,2851.0,
720251,143957119,2282FAUX_SN041,2019-01-01,,,,2851.0,
7320,145540323,407GA,2019-01-01,,2866,1691,380.5,0.00017769730818723017
7321,145540323,2282FAUX_SN110,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94096,145201153,2282FAUX_SN094,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
94097,144121994,2282FAUX_SN095,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
94098,144121994,2282FAUX_SN096,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
94099,144121994,2282FAUX_SN097,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
94100,144121994,2282FAUX_SN098,2019-01-01,,860,507,2851.0,3.1086244689504383e-15
94101,144121994,FR1284,2019-01-01,,860,507,165.3,0.00112197092315236
94662,145146678,2282FAUX_SN111,2019-01-01,,2866,1691,2851.0,0.011135433381504746
94662,145146678,2282FAUX_SN111,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94664,143950442,2282FAUX_SN112,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94664,143950442,2282FAUX_SN112,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94664,143950442,2282FAUX_SN112,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94664,143950442,2282FAUX_SN112,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94664,143950442,2282FAUX_SN112,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94664,143950442,2282FAUX_SN112,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94670,144181968,589GA,2019-01-01,,1242,732,380.5,0.0019118319261660632
94670,144181968,589GA,2019-01-01,,1242,732,380.5,0.0019118319261660632
94672,143950439,2282FAUX_SN113,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94672,143950439,2282FAUX_SN113,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94674,145450439,2282FAUX_SN114,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94674,145450439,2282FAUX_SN114,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94676,144181966,2282FAUX_SN115,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94676,144181966,2282FAUX_SN115,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94676,144181966,2282FAUX_SN115,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94678,145539533,2282FAUX_SN116,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94678,145539533,2282FAUX_SN116,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94680,145524077,2282FAUX_SN117,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94680,145524077,2282FAUX_SN117,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94682,144723030,2282FAUX_SN118,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94682,144723030,2282FAUX_SN118,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94684,144181965,2282FAUX_SN119,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94684,144181965,2282FAUX_SN119,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94684,144181965,2282FAUX_SN119,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94686,144181967,2282FAUX_SN120,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
94686,144181967,2282FAUX_SN120,2019-01-01,,1242,732,2851.0,2.001203128654261e-06
